experiment,dataset,model,training_samples,epochs,accuracy,precision,recall,f1
1,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,8,1,0.5772,0.5896,0.5962,0.5929
2,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,8,5,0.5751,0.5873,0.5962,0.5917
3,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,8,10,0.5803,0.5973,0.575,0.5859
4,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,10,1,0.5424,0.5673,0.4794,0.5197
5,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,10,5,0.5512,0.5754,0.4995,0.5348
6,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,10,10,0.5507,0.5756,0.4945,0.532
7,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,20,1,0.6183,0.64,0.5962,0.6173
8,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,20,5,0.6178,0.6364,0.6062,0.6209
9,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,20,10,0.6157,0.6326,0.6103,0.6212
10,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,50,1,0.7051,0.7341,0.6727,0.702
11,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,50,5,0.702,0.7147,0.7039,0.7093
12,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,50,10,0.7031,0.7171,0.7019,0.7094
13,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,100,1,0.7233,0.7536,0.6898,0.7203
14,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,100,5,0.7197,0.7506,0.6848,0.7162
15,SetFit/sst2,sentence-transformers/paraphrase-MiniLM-L3-v2,100,10,0.7135,0.75,0.6677,0.7064
